ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Corrected Errors,Perfect Retrieval(0/1)
20230814164549,bible_encoded_text.txt,1,0.001,31067,17556,0
20230814164549,bible_encoded_text.txt,2,0.001,31067,17627,0
20230814164549,bible_encoded_text.txt,3,0.001,31067,17598,0
20230814164549,bible_encoded_text.txt,4,0.001,31067,17731,0
20230814164549,bible_encoded_text.txt,5,0.001,31067,17740,0
20230814164549,bible_encoded_text.txt,6,0.001,31067,17599,0
20230814164549,bible_encoded_text.txt,7,0.001,31067,17720,0
20230814164549,bible_encoded_text.txt,8,0.001,31067,17841,0
20230814164549,bible_encoded_text.txt,9,0.001,31067,17595,0
20230814164549,bible_encoded_text.txt,10,0.001,31067,17691,0
20230814164549,bible_encoded_text.txt,11,0.001,31067,17743,0
20230814164549,bible_encoded_text.txt,12,0.001,31067,17742,0
20230814164549,bible_encoded_text.txt,13,0.001,31067,17732,0
20230814164549,bible_encoded_text.txt,14,0.001,31067,17632,0
20230814164549,bible_encoded_text.txt,15,0.001,31067,17614,0
20230814164549,bible_encoded_text.txt,16,0.001,31067,17562,0
20230814164549,bible_encoded_text.txt,17,0.001,31067,17715,0
20230814164549,bible_encoded_text.txt,18,0.001,31067,17685,0
20230814164549,bible_encoded_text.txt,19,0.001,31067,17570,0
20230814164549,bible_encoded_text.txt,20,0.001,31067,17665,0
20230814165300,bible_encoded_text.txt,1,0.0005,15533,8919,0
20230814165300,bible_encoded_text.txt,2,0.0005,15533,8751,0
20230814165300,bible_encoded_text.txt,3,0.0005,15533,8714,0
20230814165300,bible_encoded_text.txt,4,0.0005,15533,8840,0
20230814165300,bible_encoded_text.txt,5,0.0005,15533,8838,0
20230814165300,bible_encoded_text.txt,6,0.0005,15533,8749,0
20230814165300,bible_encoded_text.txt,7,0.0005,15533,8918,0
20230814165300,bible_encoded_text.txt,8,0.0005,15533,8866,0
20230814165300,bible_encoded_text.txt,9,0.0005,15533,8880,0
20230814165300,bible_encoded_text.txt,10,0.0005,15533,8807,0
20230814165300,bible_encoded_text.txt,11,0.0005,15533,8840,0
20230814165300,bible_encoded_text.txt,12,0.0005,15533,8873,0
20230814165300,bible_encoded_text.txt,13,0.0005,15533,8805,0
20230814165300,bible_encoded_text.txt,14,0.0005,15533,8855,0
20230814165300,bible_encoded_text.txt,15,0.0005,15533,8870,0
20230814165300,bible_encoded_text.txt,16,0.0005,15533,8888,0
20230814165300,bible_encoded_text.txt,17,0.0005,15533,8860,0
20230814165300,bible_encoded_text.txt,18,0.0005,15533,8928,0
20230814165300,bible_encoded_text.txt,19,0.0005,15533,8905,0
20230814165300,bible_encoded_text.txt,20,0.0005,15533,8724,0
20230814170017,bible_encoded_text.txt,1,0.0001,3106,1818,1
20230814170017,bible_encoded_text.txt,2,0.0001,3106,1808,1
20230814170017,bible_encoded_text.txt,3,0.0001,3106,1780,1
20230814170017,bible_encoded_text.txt,4,0.0001,3106,1755,1
20230814170017,bible_encoded_text.txt,5,0.0001,3106,1798,0
20230814170017,bible_encoded_text.txt,6,0.0001,3106,1795,0
20230814170017,bible_encoded_text.txt,7,0.0001,3106,1792,0
20230814170017,bible_encoded_text.txt,8,0.0001,3106,1729,1
20230814170017,bible_encoded_text.txt,9,0.0001,3106,1741,1
20230814170017,bible_encoded_text.txt,10,0.0001,3106,1831,1
20230814170017,bible_encoded_text.txt,11,0.0001,3106,1817,1
20230814170017,bible_encoded_text.txt,12,0.0001,3106,1798,0
20230814170017,bible_encoded_text.txt,13,0.0001,3106,1736,0
20230814170017,bible_encoded_text.txt,14,0.0001,3106,1744,0
20230814170017,bible_encoded_text.txt,15,0.0001,3106,1803,0
20230814170017,bible_encoded_text.txt,16,0.0001,3106,1775,1
20230814170017,bible_encoded_text.txt,17,0.0001,3106,1758,1
20230814170017,bible_encoded_text.txt,18,0.0001,3106,1781,1
20230814170017,bible_encoded_text.txt,19,0.0001,3106,1787,1
20230814170017,bible_encoded_text.txt,20,0.0001,3106,1762,1
20230814170732,bible_encoded_text.txt,1,5e-05,1553,897,1
20230814170732,bible_encoded_text.txt,2,5e-05,1553,877,1
20230814170732,bible_encoded_text.txt,3,5e-05,1553,874,0
20230814170732,bible_encoded_text.txt,4,5e-05,1553,897,1
20230814170732,bible_encoded_text.txt,5,5e-05,1553,908,1
20230814170732,bible_encoded_text.txt,6,5e-05,1553,888,1
20230814170732,bible_encoded_text.txt,7,5e-05,1553,884,1
20230814170732,bible_encoded_text.txt,8,5e-05,1553,854,0
20230814170732,bible_encoded_text.txt,9,5e-05,1553,858,1
20230814170732,bible_encoded_text.txt,10,5e-05,1553,902,1
20230814170732,bible_encoded_text.txt,11,5e-05,1553,869,1
20230814170732,bible_encoded_text.txt,12,5e-05,1553,859,0
20230814170732,bible_encoded_text.txt,13,5e-05,1553,877,1
20230814170732,bible_encoded_text.txt,14,5e-05,1553,865,1
20230814170732,bible_encoded_text.txt,15,5e-05,1553,896,1
20230814170732,bible_encoded_text.txt,16,5e-05,1553,888,1
20230814170732,bible_encoded_text.txt,17,5e-05,1553,876,1
20230814170732,bible_encoded_text.txt,18,5e-05,1553,911,1
20230814170732,bible_encoded_text.txt,19,5e-05,1553,875,1
20230814170732,bible_encoded_text.txt,20,5e-05,1553,881,1
20230814171446,bible_encoded_text.txt,1,1e-05,310,190,1
20230814171446,bible_encoded_text.txt,2,1e-05,310,178,1
20230814171446,bible_encoded_text.txt,3,1e-05,310,176,1
20230814171446,bible_encoded_text.txt,4,1e-05,310,197,1
20230814171446,bible_encoded_text.txt,5,1e-05,310,168,1
20230814171446,bible_encoded_text.txt,6,1e-05,310,175,1
20230814171446,bible_encoded_text.txt,7,1e-05,310,171,1
20230814171446,bible_encoded_text.txt,8,1e-05,310,177,1
20230814171446,bible_encoded_text.txt,9,1e-05,310,175,1
20230814171446,bible_encoded_text.txt,10,1e-05,310,180,1
20230814171446,bible_encoded_text.txt,11,1e-05,310,178,1
20230814171446,bible_encoded_text.txt,12,1e-05,310,195,1
20230814171446,bible_encoded_text.txt,13,1e-05,310,167,1
20230814171446,bible_encoded_text.txt,14,1e-05,310,171,1
20230814171446,bible_encoded_text.txt,15,1e-05,310,182,1
20230814171446,bible_encoded_text.txt,16,1e-05,310,182,1
20230814171446,bible_encoded_text.txt,17,1e-05,310,185,1
20230814171446,bible_encoded_text.txt,18,1e-05,310,180,1
20230814171446,bible_encoded_text.txt,19,1e-05,310,168,1
20230814171446,bible_encoded_text.txt,20,1e-05,310,166,1
20230814172154,bible_encoded_text.txt,1,5e-06,155,90,1
20230814172154,bible_encoded_text.txt,2,5e-06,155,94,1
20230814172154,bible_encoded_text.txt,3,5e-06,155,90,1
20230814172154,bible_encoded_text.txt,4,5e-06,155,91,1
20230814172154,bible_encoded_text.txt,5,5e-06,155,86,1
20230814172154,bible_encoded_text.txt,6,5e-06,155,82,1
20230814172154,bible_encoded_text.txt,7,5e-06,155,83,1
20230814172154,bible_encoded_text.txt,8,5e-06,155,85,1
20230814172154,bible_encoded_text.txt,9,5e-06,155,91,1
20230814172154,bible_encoded_text.txt,10,5e-06,155,80,1
20230814172154,bible_encoded_text.txt,11,5e-06,155,76,1
20230814172154,bible_encoded_text.txt,12,5e-06,155,90,1
20230814172154,bible_encoded_text.txt,13,5e-06,155,76,1
20230814172154,bible_encoded_text.txt,14,5e-06,155,84,1
20230814172154,bible_encoded_text.txt,15,5e-06,155,83,1
20230814172154,bible_encoded_text.txt,16,5e-06,155,81,1
20230814172154,bible_encoded_text.txt,17,5e-06,155,93,1
20230814172154,bible_encoded_text.txt,18,5e-06,155,84,1
20230814172154,bible_encoded_text.txt,19,5e-06,155,85,1
20230814172154,bible_encoded_text.txt,20,5e-06,155,89,1
20230814172903,bible_encoded_text.txt,1,1e-06,31,19,1
20230814172903,bible_encoded_text.txt,2,1e-06,31,15,1
20230814172903,bible_encoded_text.txt,3,1e-06,31,17,1
20230814172903,bible_encoded_text.txt,4,1e-06,31,15,1
20230814172903,bible_encoded_text.txt,5,1e-06,31,16,1
20230814172903,bible_encoded_text.txt,6,1e-06,31,13,1
20230814172903,bible_encoded_text.txt,7,1e-06,31,19,1
20230814172903,bible_encoded_text.txt,8,1e-06,31,17,1
20230814172903,bible_encoded_text.txt,9,1e-06,31,20,1
20230814172903,bible_encoded_text.txt,10,1e-06,31,17,1
20230814172903,bible_encoded_text.txt,11,1e-06,31,22,1
20230814172903,bible_encoded_text.txt,12,1e-06,31,16,1
20230814172903,bible_encoded_text.txt,13,1e-06,31,16,1
20230814172903,bible_encoded_text.txt,14,1e-06,31,22,1
20230814172903,bible_encoded_text.txt,15,1e-06,31,18,1
20230814172903,bible_encoded_text.txt,16,1e-06,31,17,1
20230814172903,bible_encoded_text.txt,17,1e-06,31,19,1
20230814172903,bible_encoded_text.txt,18,1e-06,31,22,1
20230814172903,bible_encoded_text.txt,19,1e-06,31,15,1
20230814172903,bible_encoded_text.txt,20,1e-06,31,19,1
20230814173611,bible_encoded_text.txt,1,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,2,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,3,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,4,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,5,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,6,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,7,5e-07,15,8,1
20230814173611,bible_encoded_text.txt,8,5e-07,15,10,1
20230814173611,bible_encoded_text.txt,9,5e-07,15,11,1
20230814173611,bible_encoded_text.txt,10,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,11,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,12,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,13,5e-07,15,6,1
20230814173611,bible_encoded_text.txt,14,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,15,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,16,5e-07,15,6,1
20230814173611,bible_encoded_text.txt,17,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,18,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,19,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,20,5e-07,15,7,1
20230814174321,bible_encoded_text.txt,1,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,2,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,3,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,4,1e-07,3,0,1
20230814174321,bible_encoded_text.txt,5,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,6,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,7,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,8,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,9,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,10,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,11,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,12,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,13,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,14,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,15,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,16,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,17,1e-07,3,0,1
20230814174321,bible_encoded_text.txt,18,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,19,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,20,1e-07,3,2,1
