ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Perfect Retrieval(0/1)
20230814162642,bible_en_text_no_hamming.txt,1,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,2,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,3,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,4,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,5,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,6,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,7,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,8,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,9,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,1,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,2,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,3,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,4,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,5,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,6,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,7,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,8,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,9,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,10,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,11,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,12,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,13,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,14,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,15,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,16,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,17,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,18,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,19,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,20,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,21,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,22,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,23,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,24,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,25,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,26,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,27,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,28,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,29,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,30,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,31,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,32,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,33,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,34,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,35,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,36,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,37,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,38,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,39,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,40,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,41,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,42,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,43,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,44,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,45,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,46,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,47,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,48,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,49,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,50,1e-06,17,0
20230814162938,bible_en_text_no_hamming.txt,1,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,2,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,3,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,4,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,5,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,6,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,7,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,8,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,9,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,10,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,11,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,12,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,13,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,14,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,15,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,16,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,17,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,18,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,19,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,20,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,21,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,22,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,23,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,24,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,25,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,26,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,27,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,28,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,29,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,30,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,31,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,32,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,33,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,34,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,35,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,36,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,37,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,38,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,39,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,40,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,41,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,42,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,43,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,44,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,45,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,46,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,47,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,48,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,49,5e-07,8,0
20230814162938,bible_en_text_no_hamming.txt,50,5e-07,8,0
20230814163135,bible_en_text_no_hamming.txt,1,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,2,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,3,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,4,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,5,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,6,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,7,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,8,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,9,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,10,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,11,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,12,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,13,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,14,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,15,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,16,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,17,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,18,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,19,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,20,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,21,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,22,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,23,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,24,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,25,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,26,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,27,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,28,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,29,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,30,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,31,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,32,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,33,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,34,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,35,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,36,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,37,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,38,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,39,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,40,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,41,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,42,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,43,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,44,1e-07,1,1
20230814163135,bible_en_text_no_hamming.txt,45,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,46,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,47,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,48,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,49,1e-07,1,0
20230814163135,bible_en_text_no_hamming.txt,50,1e-07,1,0
20230814163955,bible_en_text_no_hamming.txt,1,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,2,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,3,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,4,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,5,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,6,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,7,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,8,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,9,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,10,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,11,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,12,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,13,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,14,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,15,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,16,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,17,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,18,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,19,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,20,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,21,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,22,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,23,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,24,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,25,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,26,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,27,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,28,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,29,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,30,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,31,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,32,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,33,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,34,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,35,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,36,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,37,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,38,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,39,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,40,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,41,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,42,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,43,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,44,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,45,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,46,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,47,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,48,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,49,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,50,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,51,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,52,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,53,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,54,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,55,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,56,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,57,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,58,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,59,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,60,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,61,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,62,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,63,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,64,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,65,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,66,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,67,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,68,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,69,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,70,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,71,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,72,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,73,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,74,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,75,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,76,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,77,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,78,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,79,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,80,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,81,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,82,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,83,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,84,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,85,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,86,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,87,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,88,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,89,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,90,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,91,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,92,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,93,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,94,7e-08,1,1
20230814163955,bible_en_text_no_hamming.txt,95,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,96,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,97,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,98,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,99,7e-08,1,0
20230814163955,bible_en_text_no_hamming.txt,100,7e-08,1,0
